maliciousness	wrongdoing	malice	foul play	wrongfulness	offence	foulness	unfaithfulness	voluptuousness	evilness	iniquity	harmedness	insinuation	possessiveness	unintentional harm	prevarication	calamity	unintentionality	premeditation	attempt
punishment	penality	work of art	penalization	penalty	social control	contravening	lawful means	penalisation	ill treatment	infliction	retribution	ill-treatment	justice	law-breaking	deterring	public disobedience	discrediting	contravening action	punitive measure
work of art	piece of music	musical work	musical composition	music genre	song	record album	piece of work	book	music group	band	musical group	eponymous album	eponymous book	episode	lyrical work	rock 'n' roll	album	rock band	tv show
card	credit card	payment card	debit card	payment instrument	payment method	monetary unit	monetary instrument	bill	paper bill of exchange	financial instrument	cashier’s check	cashier's note	electronic communication medium	cashier's ticket	paypal	bank account	transactional medium	electronic device	bill pay
picture	tv program	work of art	musical work	tv show	show	television show	music group	video game genre	moving picture	motion picture	television series	channel	television program	music genre	musical organization	picture show	rock 'n' roll	rock 'n’ roll	rock band
reliability	quality	accuracy	validity	realism	authenticity	persuasion	technical specification	pertinence	scientific method	non-violence	validty	non-contestability	nonviolence	non-conformity	truthfulness	non-contradiction	non-violability	non-contestable	rigor
bank branch	financial institution	commercial bank	banking institution	bank	bank account	money transferrable	money transfer institution	business establishment	facility	thesa et al	monetary unit	non-profit organization	non-public library	work of art	non-profit organisation	non-public library medium	corporation	non-commercial organization	non-governmental organization
person	writer	religious person	militant group	political leader	leader	humanist	religious scholar	poet	scholar	literary character	archeologist	politician	almah	mohammedad	alma matlab	mohammadiyah	alma mattan	mohammedan	poetess
subpoena	legal document	order	court order	law-given right	summons	legal summons	pertinence	legality	order of court	order of service	legal proceeding	order of possession	search warrant	citation	perquisite	summoning	written communication	written order	written agreement
field hockey game	mechanical assembly	throw	slam	throwing	ballistic process	ballistic science	ballistic technique	olympic sport	ballistics	football game	throwing game	thrown ball	playback; thrown object	playback; threw	playback	ballgame	ball game	engineering science; action technique	playback; baseball term
prediction	divination	omen	pronouncement	law of nature	astrological prediction	admonition	guidance	divinity	convocation	celestial pronouncement	celestial judgment	celestial occurrence	celestial observance	law-giver	celestial benediction	prescriptive action	contraintendence	contraindication	celestial dictation
organization	data-storage medium	data-storage device	transmission channel	storage medium	business process improvement	corporation	data storage device	data storage medium	storage device	library science	non-profit organization	information medium	data processing system	telegraph line	telegraph exchange	data-storage system	work of art	televised information system	non-profit organisation
person	writer	bodybuilder	artist	portraitist	poetess	painter	dancer	portrait painter	poet	translator	actor	sculptor	scholarly journalist	portraiture	horologist	physicist	performer	heraldic artist	hereditary character
person	honoree	man of distinguished merit	sportsperson	sportswoman	honouree	winner	sportsman	honorific	persona	champion	lauderist	person of distinction	deserving	man of the world and honorary society	man of the world and honorary status	person of honor	acclamator	man of the world and honorary position	honorific person
server	computer code	coding system	data-storage medium	programmatically oriented programming (Aios)	programmatically oriented programming (Aio)	software package	software program	thesaurus aristocrat	textfile	programming language	storage medium	goddaughter	thesaurus teuss	data-storage system	data-processing machine	software	computer software	c:systemsprogramming languagesoftware programarchitecture	c:systemsprogramming
person	Chinese politician	work of art	scholar	artist	political leader	leader	philosopher	writer	Chinese poet	politician	painter	man	dancer	actor	author	scholarly person	photographer	Chinese writer	chinese martial artist
professed person	commissioned officer	lawgiver	person	officer of the armed forces	jurisconsult	soldier	officer	aristocrat	military rank	subordinate	enlisted man	jurist	legal expert	man of merit	oblique expression	petty officer	officer of the armed forces and commissioned officer	law-given title. petty officer	law-given title (lawgiver)
contract	oath	legal instrument	written agreement	concord	agreement	indefinite period	indefinite quantity	lexical category	social contract	indefinite term	epoch	trans-cultural communication	codified language	theological union	codification	covenant	enactment	inviolable law	concubinage
flavor	taste	flavour	culinary art	chemical phenomenon	chemical process	foodservice	intoxicant	culinary arts	flavoring	linguistics	thesaurus	odour	cooking oil	theology	culinary term	product	food product	foodservice category	sensory perception
company	e-commerce platform	venture	corporation	data storage device	business	partnership	web site	firm	enterprise	online store	concern	online marketplace	association	business organization	undertaking	internet site	online platform	information technology (data-storage medium) firm	e-book publisher
main road	line of traffic	motorway	expressway	moving-picture show	route	thoroughfare	transportation	moving picture	traffic light system	way	freeway	piece of art	transport infrastructure	construction site	infrastructure	show	built environment	built-up area	constructed structure
music group	musical group	musical organization	musical composition	musical work	library science	person	cultural property	lexical category	corpus of text	corpus	piece of work	lexical term	public library.	city	cultural heritage	public library	piece of art	corporazione	public library system
person	fictitious character	fictional character	character	figure	body structure	aficionado	dramatist	actor	feature film	piece of work	imaginary creature	story	work of art	cartoon character	human figure	tv show	television program	non-fictional work of art	neo-nationalism
preparation	making	dish	prepped food	physical process	product	food product	culinary arts	foodservice	cooking	food processing	process	food preparation	fortification	preparations	culinary preparation	prepped dish	scholarly work	labor force participation	foreword
plant	herb	aldicarb	aldiplant	phytopathology	plants	phytopathogen	plant mixture	plant group	aldia	medicinal plant	aldicarboxylate	plant genus	botanical name	shrub	aldicarboxel	phytopathological character	plant genus aldica	bicarbonate of soda	green herbaceous plants
archaeological dignity	astrologer	celestial body	astronomical figure	astronomical object	person	archaeological dignitary institution	heavenly body	godhead	heaven	astronomical body	natural person	astronomical unit	scientific name	monk	moniker	astronomer	cardinal point (point of reference) and compass point	divine person	cardinal point (point of reference) and letter of the alphabet
plant	perennial	plant group	plants	herb	genus	plant class	plant classification	microorganism	dicot	plant genus	biodiversity	plant part	biopolymer	phytotype	woody plant	flowering plants	delicacy	Plant	green plants
indemnity	benefit	monetary unit	benefits	allowance	social security	financial aid	perquisite	payment	monetary unit of measure	insurance	monetary unit of measurement	guarantee	sum of money	thesis	monetary unit of work	monetary unit of analysis	monetary unit of time	perk	savings account
cook	person	baker	assistant pastry chef	cooked meal preparation	cooking class	food service industry	dish-preparer	cookery class	cuisinenti	cuisinette	cooked food preparation	cooking	cooked meal prepper	chef	cuisinettist	dish-preparator	kitchen staff	cuisinente	cooking profession
person	mathematical notation	phonemic cognate	fictitious character	moniker	literary composition	personification	animal	contemporarily used name	lexical category	contemporarily used title	contemporarily used term	social action	social movement	lexical term	lexical class	lexical no	lexical description	phonetic alphabet	lexical designation
possession	ownership	possessions	title	possessor	legal title	object	right	property	monetary unit	legal document	monetary value	social status	status	financial management	social control	possessing	state of mind	being in possession	state of matter
underground train track	system of railway tracks	subway system	railway track	commingled transportation system	adage	mode of transport	paved street	paved path	aqueduct	underground train line	commu	paved area	mode of transportation	main road	underground train station	system of tracks and tracks	system of tracks and track	system of stairs	transit facility
factorial account	money back guarantee	guarantee	severance package	allowance	tax refund	written agreement	assurance	obliteration	obstructing condition	remuneration	obligor	obstructing action	cautionary tale	monetary unit	factorial work of law	monetary sum	monetary allowance	severance payment	severance
piece of equipment	body part	piece of hair	body structure	bodily structure	tissue	molecular mechanism	device	micro-organism	subspecies	mechanism of action	mechanism	part of the body	surgical instrument	surgical procedure	instrument	skin structure	genital mollusk	endometriosis	genital
snatch	cut	foul-smelling liquid	snatch.	snatching	snuff	disloyalty	punched in the face	foul-smelling fluid	disloyal treatment	squirt	foul-smelling product	work of art	distasteful food product	foul-smelling insect	punched in the mouth	punched in the gut	disloyal person	slip of the tongue	distasteful taste
achievement	accomplishment	success	satisfactoryness	conquest	gratification	successful	work of art	satisfaction	function	person	satisfactory state	victoriousness	satisfactory condition	satisfactory performance	equating	victorious	adage	being successful	victorious person
picture	moving picture	musical composition	work of art	cartoon character	piece of work	show	comedy group	film	motion picture	musical group	puppet show	musical work	visual arts	puppets and puppeteers	film genre	performance art	puppets and pigs	visual art	puppets and poop
person	businessman	company	stock exchange trader	work of art	firm	corporation	enterprise	entrepreneur	evaluator	bankrist	jurist	speculator	stock market skanker	tradesman	stockbroker	stock market skank	stock market savior	monetary system	economist
public building	facility	hospital	medical facility	civil engineering construction	building	utilitarian	edifice	built environment	built structure	healthcare facility	health facility	medical center	medical building	clinic	place of worship	infirmary	establishment	hositable environment	city hall
person	writer	poetess	author	literary person	literary work	woman	fictitious character	bookman	bookkeeper	typist	literary group	personal name	actress	editor	poet	lyricist	actor	first name	female person
obligation	liability	legal responsibility	legal theory	legal liability	causality	duty	contract	confidentiality	contractual relationship	legal relationship	assumption	agreeableness	indemnity	diligent	assumption of risk	assumer of the risk	juridical concept	legal term	dilatability
property	land	piece of land	real estate	parcel of land	parcel	manufacturization	manufacturable article	manufacturable material	manufactur	manufacturable good	arithmetic relation	arithmetic mean	equivalence	facility management system	corporative capital	place of business	corporeal estate	constructional phrasing	facility management system (FM)
theory	mathematical theory	physics	technical specification	theoretical theory	scientific theory	physical theory	theoretical science	theoretical physics	scientific method	theorist	science fiction	kinetic theory	thesis	theoreticism	method	mathematicians	theorem	physical science and mathematics	physical science
planet	celestial body	cartography	astronomical object	thespian	celestial dimension	natural phenomenon	mapmaking	constellation	equator	astronomical unit	musical composition	musical group	oceanographic unit	phenomenon	observable	natural process	oceanic science	animal	geographic feature
person	female ruler	leader	religious person	chief	ruler	female person	religious leader	king	ruling class	courtesan	female monarch	female monarchy	maharajah	harassment	political leader	mahoojah	mahooshman	mahooshmen	maharashtrian
foolishness	stupidity	intellectualism	incompetence	wisdom	stupidness	naveness	ignorance	silly	sillyness	misbehaviour	intellectual arrogance	insufficiency	inexperience	misbehavior	preposterousness	attitude of arrogance	good-willedness	attitude of dread	perplexity
cloud storage medium	astronomical object	scientific research	celestial body	cosmic ray	work of art	data storage device	figure 8	galaxy	astronomical phenomenon	nucleus	data-storage medium	cosmic ray body	astronomical body	astronomical structure	galaxies of geophysical significance	spacetime interval (time period)	galaxies of geophysical location	cosmology	spacetime dimensionless quantity
person	sportsperson	ballplayer	punter	baseball player	pro sportsperson	proffesional sport	battalie	punter or ballplayer	sporting event	athlete	slugger	proffesional sportsperson	batsman	pundit	sluger	professional baseball game	professional baseball team	batteteur	professional sportsperson
help	assistance	aid	support	service	transfer of responsibility	voluntary organization	transference	transfer of knowledge	voluntary association	transfer of wealth	voluntary action	transfer of responsibility.	servicemen and women	social help	providing help or support	monetary donation	servicemensage	assist	helping
city	municipal corporation	town	city district	port city	municipality	local government	municipal government	municipal administration	township	local municipality	locale	edifice	thespian	ferry port	seaport	hamlet	local government area	seaport town	public authority
microscope	optical device	scientific instrument	micro-scope	optical microscope	instrument	microscopical instrument	work of art	laboratory equipment	measuring device	optical instrument	eyepiece	microscopy	eyeglasses	photomicrocapillary device	photomicrographic medium	micro-scopist	specialized instrument	micro-organisms	approximator
mechanical assembly (mechanical assembly)	group event	work of art	social event	social occasion	social function	military group	musical composition	technical specification	person	military unit	uniformed person	musical style edifice	uniform	musical style (musical style)	ensemble	team	commercial enterprise	musical style / musical composition	musical style / music group
retrieval	finding	retrieving	search	retriever	removal	return	thesaurus	occurrence	perussal	perussibility	process of retrieval	perusal	perussing	restitution	technical specification	thesis	work of art	process of retrieving	obtaining
media outlet	daily newspaper	public newspaper	mass medium	mass media	print media	publication	public broadcasting	transmission channel	thesaurus	news outlet	piece of work	magazine	channel	medium	public radio and television station	thespian/playwright	thespian/pianism	media organization	thespian/pianist
peril	danger	risk	problem	difficulty	misfortune	uncertainty	predicament	probability	precautiousness	misfortunatly	adversity	persuasion	precarity	misfortunatus	misfortunateness	misfortunaty	misbehavior	unfaithfulness	conundrum
intensity	highness	exuberance	frenzy	profanity	enthusiasm	arousal	inclination	madness	magnitude	ferocity	grossness	altitude	perceptual intensity	perceptual state	frenetic activity	intemperance	incredulity	exuberant behavior	virility
city	town	locus	local government	locale	township	local government area	community	small town	municipality	hamlet	burgh	diocese	cartography	local administration district	county courthouse	local municipality	railway station	local administration area	district
waterfowl	windstorm	waterbody	tropical cyclone	air current	weather condition	atmospheric condition	atmospheric phenomenon	violent storm	wind	thespian	marine animal	storm	weather	atmospheric state	current of air	aerosol	cyclone	moving picture	natural phenomenon
computation	computing device	reasoning	factual evidence	proof	computer code	deduction	claimanthood	evidence	factual representation	factual inquiry	logical reasoning	logical process	imputation	obliqueness	presumption	mathematicians	presomatology	objection	deduced value
country	place of origin	locale	mapmaking	place of worship	city	place of residence	land site	county	map	county of nevada	county of texas	county of tisan	equpment	local government area	epoch	measure of landmass	edifice	equator	equor
university	municipal corporation	city	educational institution	school	municipality	locale	academy	edifice	pedagogical science	library science	pedagogical institution	colombian language	colombian university	pedagogical institute	school district	city district	incorporated company	contemporaries	governmental entity
motorboat	aeronautics	means of transport	apparatus	transport	mechanical assembly	means of transportation	motorized conveyance	motor vehicle	conveyance	transportation	work of art	piece of equipment	machinations	technical specification. ed.	technical specification. equivalence	technical specification describing a type of equipment	technical specification describing a mechanical assembly	technical specification describing a type of device	machining
written document	specification	metric unit	technical specification	textfile	work of art	written agreement	standardization	legal document	thematic area	theoretical framework	theoretical concept	theoretical theory	measure	rule of thumb	theoretical foundation	non-descriptness	thematic unit	non-descript object	unit of time
animal manifold	affix	hay	pamphlet	plant material	foliar material	molecular biology	grass seed	fibrous material	agronomist	taffeta	non-human primates	twig	non-vegetarian	molecular entity	non-vegetables	non-vegetarian food product	non-vegetable matter	non-vegetable plant part	papyrus
state	city	mapmaking	locale	land site	land area	place of origin	cartography	country	state of texas	province of the United States	the state of New Orleans	linguistics	alabama	indian port of call	indigenes	linguistic group	indigeneity	indian country	the state of
data storage device	electronic equipment	pc chip	computing machine	information technology equipment	computing device	computer hardware	data processing unit	pc programme	computer programme	storage medium	electronic component	computer circuitry	data file	data processor	data processing system	information processing unit	information processing system	computer equipment	computer hardware and software
olive	piece of fruit	oleaceae	plant	piece of land	olive tree	vegetable	veg	angiosperm (seed) and oily fish	calyptophyllaceae	angiosperm (seed) and leaf	good oleuf	calyptophyllaceae plants	calyptophyllaceae plant	carol of the pooch	angiosperm (seed)	green olive	oleaf	angiophyllocytogenetic enzyme	calyptophyte
handheld videogaming	video game genre	code	computer game	videogaming	pc game	videogame genre	handheld gaming console	video game	role-playing game	videogaming medium	jock erector	person	work of art	jock	jock d'equipe	jock d'or	thespian	role playing game	software development
act of strangulation	confinement	constraint	suffocation	strangulation	constriction	restraint	entrapment	prisoner-of-war	physical force	violence	contrainte	assault	necrops	prisoner-of-peace	affixation	prisoner-of-peace/detention center	affix	endangerment	prisoner-of-peace/death penalty
bodily fluid	alkaloid	polymer	biopolymer	colloidal protein	gelatin	polysaccharide	molecular biology	emulsion	glucosylglycan	globulin	glycogen	protein	physicochemical system	physicochemical property	natural substance	natural product	aqueous solution	organic compound	aqueous substance
town	city	locale	local government	mapmaking	locus	local government area	built-up area	land site	place of interest	built-up	local government district	place of worship	abode	land site.	local government management area	public building	house of god	place of concern	construction site
person	jurist	personal name	fictitious character	poetess	writer	lexicographer	scholarly work	scribe	judge	hebdomad	literary character	black and white	literary agent	lawgiver	physicist	surname	family name	political organization	political organisation
person	civil engineer	courtroom	public building	leader	king	city	courthouse	judge	jurist	chief	writer	lawmaker	lawyer	monarch	scribe	private house of commoners	private house of cards	thespian	sculptor
person	pervert	wrongdoer	perversion	obnoxious person	persecutor	criminal	perverse	perverse person	persuader	perverts	misdeed	bad person	persuasion	perspicacity	perverter	perversity	nonconformist	obstructive behavior	non-violent offenders
person	human trafficker	thief	smuggler	peddler	criminal	traitor	traveller	co-conspirator	co-operator	trafficker	pedagogue	muggler	coyote	trader	drug smuggler	traveler	conspirator	persuader	heist-torn person
plant	civil unrest	non-essential pest	grassland	plant disease	plant pathology	disorder	cultivated land	land cover	tyrant	non-violent protest	protest	pest	coniferous tatter	coniferous tench	lock up	coniferous zone	enclosement	coniferous union	coniferous animal
transmission channel	data transmission channel	Web site hosting service	computer software	java program	data storage device	communication medium	cloud computing system	server	software	software program	computer program	communication channel	network address	data transmission and storage device	open-source technology	data-storage medium	data storage medium	telecommunications channel	data-transfer medium
molecular entity	molecule	chemical group	atom	glucosidast	glucosidase	glucosamine	carbon atom	alpha-amino acid	glucagon	gas	alpha-amino group	alpha-amylator	alpha- glucan	monoatomic glucosin	monomolecular entity	monomolecular unit	elemental compound	unit molecular entity	protons
site	place of business	test site	work of art	geophysical site	physical system	nuclear test site	nuclear facility	facility	land site	testing ground	nuclear power plant	nuclear energy plant	physico-chemical property	physico-chemical organism	physico-chemical compound	physico-chemical composition	bio-degradable material	bio-diatom laboratory	bio-degradable materials
dictionary	medium	lexicology	written language	book	function	work of literature	literary work	library science	English-speaking audience	lexicological category	English-speaking world	English-language dictionary	written communication	lexical category	lexical class	English-speaking countries	English-speaking nation	English-speaking society	document
work of art	public library	music group	band	rock band	written communication	communication medium	pc game	computer game	musical group	musical work	textfile	public art	medium	tv show	television show	computer software	musical composition	library science	musical organization
software	open source	programing language	work of art	computer code	source code	technical specification	data-storage medium	library science	library science and linguistics	written language	knowledge organization	data-processing system	library science and scholarly work	library science and engineering	library science and research	library science and library technology	library science and coding system	library science and scholarly research	coding system
person	benefactor	devout person	aristocrat	ancestor	good person	prelates	noble	devout man	persuader	fictitious title	fictitious character	head of household	household name	persuasion	head of family	family name	male person	female person	personal name
publication	e-mail message	communication medium	piece of work	electronic media	medium	communication device	written communication	periodical publication	transmission	transmission channel	communication channel	bibliographical unit	mass media	periodicals	bibliographical element	bibliographical resource	work of art	electronic mail	bibliographical feature
person	fictitious character	actor	writer	fictional character	film director	villain	character	law-of-attraction	aboriginal	courtroom recorder	poet	film producer	producer	film maker	soldier	military man	combatant	law-abiding	jurisconsult
written document	lawful document	form of communication	form of expression	proposal	technical specification	written agreement	legal document	form of speech	obituary	law-maker	grammatical category	deed of good faith	obligatory act	obligatory action	deed	linguistic unit	deed of goodwill	obligatory statement	deed of good will
university	college	educational institution	institution of higher education	coeducational organisation	coeducational institution	institute of higher education	higher education	universita's name	universita's	universitaion	universit ed	higher-education institution	universitet	universitas	universitain	universite	library science.	classificable abbreviation	coeducational organization
person	writer	written language	wrestler	political organization	jurist	person of faith	fictitious character	religious person	persuasion	person of color	legal person	lexical class	persecutor	thespian	christian	work of art	written language and spoken language	literate person	theologian
impression	representational process	visual art	literary work	sense organ	picture	picture show	perceptual state	visual communication	work of art	perceptual object	perceptual experience	perceptual phenomenon	perceptual process	depiction	perceptual representation	emoji	perceptual phenomena	adverb	visual arts
person	suffragist	woman	suffragette	right suffragette	right suffragist	suffrager	patrician	female	female person	toile de toutes les facettes	indefatigable character	toile de suffrage	indefatigable	toile de jouissance	conscientious objector	toile de rua	toile de represención	persuasion	persuader
disorder	genetic disorder	disease	pathological state	illness	inheritable disease	sickness	inheritable disorder	sickle cell anaemia	auto-immune disorder	auto-immune disease	pathological process	sickle cell anaphylaxis	autoimmunity	health care provider.	health care provider	health care provider. ailment	trait	health care provider. ailment.	auto-immature
exocrine cavity	oviduct	endometrium	bodily structure	duct	body structure	organ	the gastrointestinal tract	body part	uterus	mucus membrane	exocrine tube	biological process	ovary	internal organ	the intestine	genital organ	intestine	exocondit	procyst
restriction	physical barrier	obstruction	physical obstruction	impediment	barrier	blockade	obstacle	restraint	rule of law	imprisonement	impairment	confinement	prohibition	contraption	contraveillance	opposition	blockage	social control	shut-down
animal	mariner	person	marine life	marine	military branch	boat	molecular biology	marine biology	body of water	work of art	subordinate class	molecus	naut	subordinate category	conscient person	oceanographic equipment	marine life and animal	surname	subordinated position
person	work of art	scientific research	sociologist	philosopher	writer	mathematician	persons	pedagogue	horoscope	physicist	essayist	painter	thespian	scientist	phd	professional engineer	engineer	theorist	phnologue
gale force	tropical cyclone	violent storm	storm	windstorm	natural phenomenon	cyclone	tropical depression	atmospheric phenomenon	winds of up to 100 km/h	winds of up to 105 mph	fury of hair feathers	hurricane	winds of up to 100kmph	fury of hair feather haired creatures	winds of up to 110 kmph	winds of up to 110 km/h	winds of up to 100 kilometers per hour	violent thunderstorm	winds of up to 110 km/h per day
person	political leader	fictitious character	poetess	aristocrat	writer	city	leader	edifice	political scientist	literary work	fictional character	political organisation	empiricism	literary person	literary character	imaginary being	homonym	fictitious place	imaginary creature
data-storing device	data storage and retrieval system	computer software application	software package	application program	computing device	thespian	transmission channel	communication medium	computer program	tv	data-storage medium	computer programme	channel 2	programming language	information system	application software	data storage device	data-entry	data storage medium
school	college	university	educational institution	library science	scholarly organization	higher education	work of art	place of learning	academic establishment	city college	institute	academic unit	scholarly journal	institution	class	higher education institution	public university	private university	city hall
meeting	place of business	public meeting	forum	place of worship	meeting place	hall	venue	discussion group	meeting hall	meeting room	group event	place of assembly	place of meeting	community hall	physical environment	discussion forum	conference room	discussion board	place of meetings
physical phenomenon	physical system	geological formation	piece of work	piece of land	land area	surface	solid state	tracheophysicist	agronomical unit	natural phenomenon	grammatical category	tracheophyte	edifice	tracheomorphic unit	agronomical system	permafrost	aquifer	topological space	topological layer
person	work of art	fictitious character	editor	writer	author	text editor	technical specification	cypher	evaluator	dictator	programmer	word processor	fictitious title	technical writer (technical writer)	technical specification; edificator	technical specification; manslaughter	ediologist	electronic media (medium of communication) medium	technical writer (technician)
written document	note	document	monetary unit	piece of paper	written language	written communication	written word	writing implement	persuasion	data storage device	storage medium	money	coin	piece of work	e-cod	arithmetic function	persuader	arithmetic operation	persecutor
movement	flow	physical phenomenon	natural phenomenon	fluid	phenomenon	motion	synchronicity	observable	technical specification	hyb	flux	process of chemical change	fluid dynamics	process of physics	process	fluid flow	process of making things	process of moving about	technical specification or specification
plant	plant part	fungi	plant tissue	plant parts	rhizome	rhizosphere	fungus	rhizopod	plant growth	membranous organ	membranous structure	membranosium	cactus	membranous tissue	plant genus	membranosis	tillage	plant growth medium	membranous root
threat	danger	threatening	act of violence	warning	affront	signaling	persuasion	adversity	social control	control	public threat	hazard	hilarity	peril	violence	admonition	persecutor	condescension	aversive action
whale	mammal	cetacean	sea animal	animal	marine animal	marine mammal	marine mammals	marine life	sea creature	fish	pterodactyl	whalefish	pterodotus	humpback whale	grandiose whale	pygmy whale	spangled fish	spangled whale	billiffer narwhal
software	data storage device	software package	computer software	software program	office suite	application program	computer program	programing language	programming language (pc game)	program	coding system	computer programme	operating system	computing system	data file	storage medium	computer file	programming language	office software
social event	phenomenon	observable	concept	function	physics	occurrence	social occasion	mathematical operation	mathematical process	perceptual perception	technical specification	perceptual experience	intelligibility	perceptual understanding	materialistic theory	scientific method	intelligible medium	logical relation	mental state
mathematical operation	technical specification	mathematical expression	mechanical assembly	unit of time	technique	dexterity	emulation	perpendicular movement	perpendib	specification	perpendicular motion	mechanics	mathematical terms	mathematical operations	computer code	mathematicians	mathemature	mathematical process	perforation
tide	current of water	movement	river flow	sea-level change	waterway	waterbody	natural movement	channel	current of air	ebb and flow	natural phenomenon	tidal movement	waveform	wave action	sea-level	natural elevation	water current	sea	moving-picture show
city	town	locale	local government	local government area	local government district	mapmaking	township	public building	provincial capital	place of worship	place of residence	place of origin	place of birth	metropolitan area	county	place of name	state	place of study	geographic point
literature	book	poetics and language	word of mouth	written language	communication medium	writing	literary work	piece of work	written communication	library science	edifice	philology	lexicology	linguistics	spoken word	language	library science and science of science	library science and science of literature	lexicalization
depression	abandonment	dejection	discontentment	discontent	distastefulness	deplorable mood	desperation	downheartedness	social discontentment	deplorable attitude	social rejection	feeling of helplessness	social stigma and social rejection	deplorable condition	social ill-health	remorse	deplorableness	dejected person	despair
olympiad	symbolism	symbolisation	royal armorial service	armoury	etymologie	etymology	symbol	aristocracy	concise history of art	consectetur	consect	chastity	concise observance	concise equivalent	equivalence	acrobatics	equivalency	aristocratic monarchy	royal scepticism
tumor	disorder	molecular entity	molecular biology	astrocytoma	pathological phenomenon	pathological state	pathological condition	microorganism	pathological process	hemorrhagic malignancy	hemorrhagic malady	angiosomiasis	hemorrhagic cytoplasia	hemorrhagic cyst	hemorrhagic disease	hemorrhagic cytopathology	sarcomedocedical lesions	tissue disorder	hemorrhagic lesion
coinage	coin	monetary unit	pence	penny	money	tenpence	denomination	twopence	coins	fifty cents	piece of money	change of hands	two pence	fifty pence	pennies	money denomination	bill of exchange	money value	changing costs
moving-picture show	mode of transport	conveyance	moving vehicle	moving picture genre	transport	moving picture	means of transportation	transportation	aikido	travel	moving	motor vehicle	vehicle	public transport	picture show	figure of speech	moving-picture show (pic) and film industry (film)	moving-picture show (pic) and film (film)	moving-picture show (pic) and film industry (video)
time period	time interval	mealtime	hour	period of time	daily routine	time unit	daytime	time	lunchtime	workday	meal time	hour of the day	food preparation	hourly rate	time frame	time period.	moment in time	hour of day	mealtimes
city	locale	hamlet	county courthouse	town	edifice	municipal corporation	district	borough	public building	residential area	commoditized storage medium	commoditized house	provincial capital of england	building	commodified form of transport	provincial capital of britain	commoditized household appliance	uk constituency	manor house
person	humanist	personal name	poetess	writer	bookman	politician	political leader	poet	scholar	anthropologist	leader	academician	journalist	evaluator	private investigator	investigator	fictional character	hunchback	h1n1-person
storage medium	micro-organism	computer chip	storage	micro-structural element	mechanical component	micro-array	buffer	micro-environment	technical specification	buffering mechanism	insulator	unit of measurement	stub	interpolation of ideas	unit of measure	interpolation of data	insulating material	interpolation channel	containment
fish	mammal	animal	aquatic fish	salamander	molecular biology	organism	squid	micro-organism	micro-organisms	aquatic animal	plant	crustacean	molecular biologist	microorganism	small mollusk	macrophyte	procyonid	procyoniform	molecular biologists
city	town	person	municipality	township	street name	local government unit	streetcar company	social control	local government	local government area	thespian	local government agency	work of art	local government organization	social action group	local government administration	local government district	local government sector	spatial relation
person	artisan	potter	maker	sculptor	weaver	craftsman	tradesman	profane term	work of art	professional potter	makeshift structure	handcraftsman	artist	art form	profane name	profane person	master potter	artifact	handcraftsmen
work of art	technical specification	homonym	pipework	apparatus	condensed-meat meal	system of plumbing	ductwork	condenser	condensed-meat digestion	condensed-meat area	condensed-meat diet	condensed-meat soup	built environment	piping	piece of work	building sector	built environment and construction site	built environment and technical specification	building science
animal	beef	animal product	dairy product	meat	plant protein	product	ground meat	delicacy	plant material	raw material	food product	pig	equivalence	calf meat	dairy products	bovine	carne assimilation	carne superficie	grass-fed product
geological formation	aggregate	sandstone	conglomerate	corporating company	corporato-economic unit	work of art	physical system	corporato-physical unit	economic edifice	corporatories	corporato-legal entity	rock salt	corporato-physical system	corporato-economic model	piece of land	corporato-economic category	corporato-economic group	conglomeration	solitary body of matter
measure	monetary unit	weight unit	measurement	weight	measured quantity	motorway	way	monetary system	amount of money	exchange rate	technical specification	practical economy	practical math	weight of wood	weight of stone	practical maths	monetary value	financial settlement	countable per unit
practical mechanics	mechanical assembly	mode of transport	mobile phone	automobile	car	motorhome	motor vehicle	vehicle	motorcar	motorized transport	transport	motorized vehicle	aethetics	built-in device	piece of work	cabability	aeolian architecture	piece of work of art	aeolian astronomical system
person	writer	political leader	professional musician	author	artist	bookman	literary person	work of art	poetess	politician	jurisconsult	writerman	poet	literary work	professional engineer	engineer	leader	musician	literary works
biological group	biomolecule	protein	chemical group	antigen	polysaccharide	cell	biological phenomenon	antibody	molecular biology	molecular entity	analyte	polysaccharide moiety	antibodies	polysaccharid	molecule	equivalency	polysaccharides	equivalence unit	endogenous pathogen
discharge	fluid state	disbursement	liquid state	thermodynamics	thermodynamic state	thermography	thermology	system of measurement	measurable variable	olympic sports	olympic sport	water-based medium	absorption	work of art	system of measure	water-soluble fiber	system of measurements	water-borne path	water-borne disease
troll	enemy	monster	animal	person	fictitious character	imaginary creature	evil person	imaginary being	creature	pc game	computer game	toad	critter	fictitious creature	necromancer	fictitious character.	man-made artifact	creepy-crawling	fae
restriction	limitation	restrictiveness	constraint	constrictiveness	control	confinement	physical property	limitativeness	social control	constrainingness	entailment	conditivity	indecency	restrictivity	strictness	non-movement	immobility	restrictedness	being constrained
university	college	school	public university	education system	higher education	scholarly institution	scholarly organization	institution of higher education	higher-education institutions	higher-education institution	collegiate football team	institution of higher learning	collegiate athletic program	collegiate athletics	forbominator	collegiate football association	higher learning institution	collegiate football league	educational institution
animal	plant	molecular biology	beast	fictitious character	woody plant	grassland	animal part	grass	tegument	molecular entity	carnivore	phlogotype	black and white	equus	piece of wood	theologism	woody mammal	species	local government
