doing wrongdoing	wrongful conduct wrongdoing	adjustment slander	doing malice wrong	doing malice 	doing malice mal	doing malice malicious	doing malice evil	ness malice wrongful conduct	adjustment bad faith	adjustment wrongness	doing malice bad	adjustment maltreatment	doing wrongful act	ill will malice maliciousness	ness maladjustment	adjustment wrong doing	ness malice wrongful act	adjustment bad intention	ness malice ill will
 mammal sea creature	</s><pad><pad><pad><pad><pad><pad><pad>	 sea creature mammal	 mammal marine animal	 sea creature marine mammal	 sea creature marine animal sea	 mammal mammal	 sea life mammal	 animal mammal whale	 cetacean marine mam	mammal whale marine animal	 marine animal cetacean	 sea creature marine animal animal	 seahorse ma	 mammal sea animal	 animal mammal sea	 sea creature sea creature ma	 sea creature fish sea creature	 sea creature sea creature animal	 mammal marine animal</s>
program software program office suite	program software program computer software	program software program software program	package software program computer program	package application program software program	program software application software program	system computer software computer program	package software program computer software	software computer program computer programme	system computer software software package	program application program software program	program software application software package	program software program software package	system computer software computer programme	system software program software program	 computer program computer software software	package computer software software program	package software program software application	 software program software package computer	 computer software software program software
speculative fiction fiction fiction	code software program software program	code computer code computer program	phenomenon physical phenomenon physical system	speculative fiction fiction 	phenomenon natural phenomenon phenomenon phenomenon	code computer code computer software	phenomenon physical phenomenon phenomenon phenomenon	code computer program computer programme	phenomenon phenomenon physical phenomenon phenomenon	phenomenon natural phenomenon physical phenomenon	phenomenon physical phenomenon phenomenon physical	phenomenon physical phenomenon physical phenomenon	phenomenon physical phenomenon natural phenomenon	linguistics linguistics 	code computer software software program	of art work of art work	code software program software package	observable physical phenomenon physical phenomenon	olympic sports event sporting
code mathematical operation mathematical function	ematicians mathematical operation mathematical	code mathematical operation mathematical operation	ematicians mathematical operation 	ematica mathematical operation 	 sound sound wave picture show	 musical composition pic musical work	ematica mathematical operation mathematical	code mathematical operation computer code	 sound sound wave image	specification specification technical specification</s><pad>	ematica mathematical process mathematical	ematica mathematical operation computation	 sound sound wave sound	ematical process mathematical function	ematica mathematical operation measurement	ematicians mathematical operation mathematics	 musical composition pic musical composition	ematica mathematical operation calculation	ematica geometric shape mathematical
phenomenon weather condition weather condition	function natural phenomenon weather condition	 natural phenomenon weather condition natural	 weather weather condition natural phenomenon	 natural phenomenon natural action phenomenon	 natural phenomenon weather condition natural	action natural phenomenon phenomenon</s><pad>	 natural phenomenon weather natural phenomenon	 natural phenomenon natural action</s><pad>	 natural phenomenon weather condition natural	 natural phenomenon natural phenomenon natural	 natural phenomenon weather weather condition	 natural phenomenon weather condition atmospheric	 natural phenomenon weather condition condition	action natural phenomenon weather natural	 natural phenomenon weather condition phenomenon	 natural phenomenon weather condition weather	action natural phenomenon natural phenomenon</s>	 natural phenomenon weather natural phenomenon	 natural phenomenon natural phenomenon weather
 work of art musical work	 work of art work of art	 work of art musical work	 piece of land piece of ground	 work of art work of art	 piece of land piece of ground	of art film musical work	 piece of land piece of sea	 piece of land piece of water	of art musical work</s><pad><pad>	 piece of land piece of land	 musical work musical composition film	 piece of land country land	 piece of land country country	of art musical work musical composition	of art work of art picture	 piece of land land site	of art musical work music group	 musical work musical composition motion	of art film film production
language communication medium written communication	communication written work communication medium	language written communication written document	language written communication communication medium	language written communication written text	 written communication communication medium communication	language written communication written communication</s>	 work of art communication medium	language written text written communication	 work of art written language	 work of art work of art	document written communication written communication	document written communication written communication</s>	language written communication writing written	 written communication communication medium literary	 prose prose poetry	communication written work communication process	 written communication communication medium written	language written document written communication	language written communication written communication
 rejection</s><pad><pad><pad><pad><pad>	 dissatisfaction dis	 distaste distaste	 dissatisfaction</s><pad>	 oblivion 	 rejection abstinence	 distaste dislike hatred	 aversion distaste	 distaste dislike rejection	 rejection distaste rejection	 abandonment disapproval	 distaste dislike dislike	 distaste rebu	 distaste dislike 	 utterance utterance	 distaste remor	 distaste depriv	 distaste dislike</s><pad>	 distaste dislike de	 distaste detestation
 graphical representation image graphic	isation graphical representation symbolisation	arts art edifice	isation graphical representation representational	isation graphical representation symbolization	arts art illustration drawing	ion pic representational process	isation graphical representation representation</s>	 graphical representation graphic image	arts drawing illustration graphic art	ion pic depicting	ion pic representational art	arts art deco graphic arts	isation graphical representation representation	art pic graphic art art	art drawing graphic art</s><pad>	arts graphic arts</s><pad><pad><pad>	 graphical representation image image	arts graphic arts drawing drawing	arts pictorial representation representation
ady malady	plasia hypertrophy	plasia malady	 malady mala	ady pathological process	 malady tumor	inflammatory disease pathological state 	 malady disorder	 malady disease	inflammatory disease inflammatory cytom	 pathological process malad	lecular biology cytoma	plasia cytoma	inflammatory disease pathological state disorder	ology pathological state disorder	 malady swelling	inflammatory disease inflammatory disease 	inflammatory disease inflammatory disease disease	ological state pathological state path	inflammatory disease pathological state path
 piece of work bill coin	age denomination coin coin	monetary unit coin coinage	note coinage coin bill	age piece of paper coinage	note coin coin bill	 coin bill coin coin	age bill coin coinage	age coinage bill bill	 coin coinage bill	 coin coinage coin	age coinage coin coin	age coinage monetary unit	age coinage coin bill	age coinage bill coin	age coinage pound coin	 coin denomination coin coin	age coin coin bill	 bill bill of exchange coin	age piece of paper coin
 mode of transport mode of transport	 means of transport passenger transport	 means of transport mode of transport	 means of transport mode of transport	 means of transport means of transport	e vehicle means of transport	vehicle mode of transport travel	 travel mode of transport travel	 mode of transport travel mode	vehicle mode of transportation travel	transport mode of transport travel	vehicle means of transport vehicle	 vehicle mode of transport means	vehicle mode of transportation motor vehicle	 vehicle mode of transport vehicle	 travel mode of transport moving	 passenger transport travel travel	 mode of transport mode of transportation	 travel mode of transport passenger	 vehicle mode of transport mode
period period of time mealtime	slot mealtime mealtime	period mealtime mealtime	slot meal time mealtime	period mealtime period of time	of day mealtime mealtime	slot mealtime period of time	of day time period meal</s>	interval mealtime mealtime	of day period period of time	of day time period meal	of time mealtime mealtime	of day mealtime meal	of day period of time meal	of day period of time</s><pad>	 period of time mealtime	of day meal eating time	of day hour</s><pad><pad><pad>	of time mealtime meal	of day time period mealtime
government district borough borough	 district piece of land parcel	 district piece of land piece	 borough town city	 borough borough district	 borough city borough	 borough comitt	 city suburb city district	 borough commuting	 borough town city	 city district borough 	 borough comming	government district township ham	 borough city town	 suburban district borough 	 suburban district borough suburb	 suburban district borough suburban	 district piece of land site	 borough city district	 borough city township
</s><pad><pad><pad><pad><pad><pad><pad>	 fictitious person</s><pad>	 fictitious person 	 fictitious person fictional	 fictitious person person	 writer</s><pad><pad><pad><pad><pad>	 work of art social action	 work of art social movement	 work of art writer writer	 fictitious person social	 fictitious character person	 fictitious person writer	 scholar academician scholar	 fictitious person political	 lexicographer lexicographer	 fictitious person creator	 fictitious person literary	 fictitious person actor	 fictitious character fictional	 social function social worker social
medium storage medium storage buffer	medium storage medium storage medium	medium storage medium buffer buffer	medium storage medium buffer storage	site space piece of land	site space space buffer	medium storage medium buffer space	medium container buffer storage	system buffer space space	medium storage medium storage storage	medium storage medium storage barrier	of art buffer buffering	of art buffer buffer zone	medium storage buffer packing material	medium storage medium buffer</s><pad>	medium storage medium barrier storage	medium storage medium container storage	medium storage medium storage device	medium storage medium storage medium</s>	medium storage medium storage</s><pad>
 aquatic animal marine animal animal	 fish marine animal sea creature	 animal marine animal marine animal	 aquatic animal marine animal marine	 fish marine animal marine creature	 aquatic animal marine animal fish	 aquatic animal fish</s><pad><pad>	 aquatic animal marine animal</s><pad>	 aquatic animal sea creature fish	 marine animal aquatic animal fish	 aquatic animal marine animal sea	 fish marine animal fish	 fish marine animal marine animal	 aquatic animal animal</s><pad><pad>	 marine animal sea life marine	 marine animal marine life sea	 marine animal marine life fish	 aquatic animal aquatic animal fish	 sea creature fish marine animal	 aquatic animal sea creature marine
 transportation system means of transport	ography mapmaking cartography	 city edifice	era period of time period of	 medium mode of transport journey	 mode of transport local transportation	organization political organisation political party	ography mapmaking mapmaking</s>	era period of time time period	 medium mode of transport travel	administration government public administration administration	organization political organisation political organisation	 means of transport transportation mode	ography mapmaking mapmaking	 mode of transport city transportation	 means of transport vehicle travel	 means of transport transportation travel	 means of transport travel mode	 mode of transport transportation transportation	 mode of transport transportation vehicle
edificio e	aristocrat aristo	aristocrat king	 writer poetess	aristocrat chief of state	aristocrat lord	aristocrat leader person	 idiom idiom	 work of art picture show	aristocrat person 	 writer poetess</s>	aristocrat person monarch	pc game app computer game	pc game computer programme computer	pc game video game computer	aristocrat chief chief	aristocrat leader political	pc game computer software computer	pc game computer programme 	pc game app computer software
assembly engineering science technical specification	assembly engineering science engineering science	assembly engineering science piping	science engineering science technical specification	of systems technical specification plumbing	assembly engineering science mechanical engineering	science engineering science physics	assembly engineering science plumbing engineering	science engineering science engineering science	science engineering engineering science engineering	assembly system utility utility	science engineering science engineering science</s>	science engineering science pc	assembly engineering science hvac	science engineering engineering science technical	assembly system plumbing plumbing system	of piping fitting fitting	assembly technical specification governing	science engineering engineering science</s><pad>	assembly engineering science plumbing electrical
 animal trotter	ohydrate animal food product	 meat animal food product	able food product animal product	 animal product animal food product	 animal food product animal product	able food product food product	 animal food product animal	 animal veg food	trotter animal product animal	trotter animal product food	 animal product animal animal product	trotter animal product 	 meat animal animal animal	 animal product food product feed	ohydrate animal food animal	 meat animal animal food	 animal product food product food	 animal product food product animal	 meat animal animal</s><pad>
 company business organization enterprise	 company venture venture</s><pad>	 company business organization business organization	 company business concern business organisation	concern company venture business concern	 business concern corporation business organisation	concern company venture business organization	 company business organization legal entity	 company business organization company	organization company corporation company	 company firm enterprise</s><pad>	 company partnership venture enterprise	 firm business concern corporation	 company partnership venture venture	 company business organization corporation	 corporation business organization business organisation	 company firm enterprise business	organization company corporation corporation	 business concern corporation business organization	 company business company business concern
metric unit unit of weight weight	monetary unit unit of measurement weight	monetary unit unit of weight unit	monetary unit unit of weight weight	monetary unit unit of weight measure	monetary unit unit of weight measurement	monetary unit weight unit of weight	metric unit unit of measurement measure	unit measurement unit of weight</s>	unit unit of measure unit of	monetary unit unit of mass measure	metric unit unit of measurement kilogram	metric unit unit of measurement</s><pad>	monetary unit unit of measurement measure	unit measure unit of measure	unit measure unit of measure</s>	unit unit of measurement unit of	metric unit unit of measure</s><pad>	metric unit unit of measurement 	monetary unit unit of measure weight
of land construction piece of ground	 parcel of land piece of ground	 construction site piece of land	of land piece of ground piece	type topological space topological	 land property construction site piece	of land piece of ground parcel	 construction site plot of land	 topological space topological space	 parcel of land parcel of land	 topological space topological plane	of land piece of ground flat	 topologically speaking topological	of land flat piece of ground	 construction site flat piece of	of land piece of ground building	 construction site flat site	 topological space topology	of land topological space top	of land piece of ground built
</s><pad><pad><pad><pad><pad><pad><pad>	 writer</s><pad><pad><pad><pad><pad>	 political leader leader</s><pad><pad>	 sculptor painter	 writer poetess</s>	 sculptor painter</s>	 business person business person business	 artist sculptor person	 jurist jurist</s><pad>	 writer poetess	 business person businessman business	 writer painter</s><pad><pad>	 writer satirist</s>	 sculptor</s><pad><pad><pad>	 political leader leader politician	 sculptor painters	 political leader politician leader</s>	 businessman businessman business	 political leader political scientist political	 politician leader person</s><pad>
gen antigen-antibody	gen molecule biomolecule	blood cell blood cell antibody	gen molecule antigen	gen molecule natural product	gen biological phenomenon molecule	gen biological phenomenon chemical reaction	gen antibody molecule chemical	gen molecule biological phenomenon	gen molecule biological reaction	gen molecule biological process	gen antibody molecule 	gen molecule biomolecule</s>	gen antibody molecule biological	gen molecule biological chemical	gen antibody molecule antibody	gen antibody</s><pad><pad><pad><pad>	gen molecule natural phenomenon	molecule molecular entity chemical	gen antibody molecule protein
 release release from release	 release</s><pad><pad><pad><pad><pad>	 release release of energy release	 release release from discharge	 bodily process chemical action	 release release from releasing	 bodily process physical property	 release release of energy ex	pore passage passageway passage	 release release of energy discharge	 release action release</s><pad>	 release release of energy 	 bodily process physical phenomenon	 release removal discharge discharge	 release action release release	 release release from discharge</s>	 release released discharge	 bodily process pore	 release action release discharge	 release release from release</s>
behavior misbeh	behavior evil evil	sprite evildoer	behavior peril	behaviour bad person	behaviour evildo	behavior wickedness	behaviour wickedness	behavior misdeed	behaviour misbeh	behavior malad	behaviour social problem	behavior hor	behaviour misdeed	behavior evil wicked	behavior offense 	behavior ob	behavior crime 	behaviour evil evil	behavior</s><pad><pad><pad>
</s><pad><pad><pad><pad><pad><pad><pad>	ness strictness</s><pad><pad><pad>	ness limiting limiting	 strictness</s><pad><pad><pad><pad>	 strictness strictness</s><pad>	 restraint restraint	 strictness lack of freedom	ness</s><pad><pad><pad><pad><pad><pad>	 strictness obstruct	ness obstructiveness	ness restrictiveness</s><pad><pad><pad>	ness restriction</s><pad><pad><pad><pad>	 strictness lack of freedom</s>	ness limiting impedi	ness impediment im	 strictness adequ	 strictness obdur	 strictness obf	ness tightness</s><pad><pad><pad>	 strictness restriction</s><pad><pad>
 city edifice	 city state township	city town city port	 collegiate university university university	 country capital city capital	 township township city	 township university college	 township university university	 country capital city town	 township township town	 township city township	 collegiate university college university	 county township township	 town aristoteles	 town aristocrat	 town township city district	 township township county	 collegiate university university college	 town township township	 township township</s><pad>
y plant plant woody plant	 herbacea herbaceous	 genus plant family	 plant family genus	 woody plant woody plant	berry bush bushy-foot	 herbacea gramine	y plant plant woody species	 genus genus	fungus plant fungus	berry bush berry bush	berry plant berry black	y plant plant</s><pad><pad><pad>	y plant woody plant plant	 herbaceous plant plant	 medicinal plant plant group medicinal	berry bush blackberry 	 woody plant genus	y plant woody plant 	 woody plant plant 
 main street commercial district commercial	 section of land piece of ground	 intersection street thoroughfare	 section of land parcel of land	 edifice street	 main street street level street	 plan right of way street	 piece of land piece of ground	 main street arterial road street	 intersection street street number	 main thoroughfare commercial street	 intersection street street address	 piece of land piece of land	 intersection street street street	 main thoroughfare freeway	 intersection street avenue commercial	 section of land piece of land	 circulation street grid circulation	 main street arterial road arterial	 edifice public
group language people language	language people language spoken language	group language people ethnic group	language language spoken language spoken	language language spoken language written	language person language spoken language	language language spoken language 	organization political organization political organisation	organization social control political organisation	organization ethnic group political organisation	language language spoken language</s><pad>	group language person linguistic	group language language native speaker	language language spoken language person	organization political organisation political party	group language slacker	group language language person	group language person ethnic	organization political organisation political organisation	group people language linguistic
age coinage coinage	age coin money coin	 fissure coinage	specie coinage coin	age coin money coinage	age coin metal money coin	 coin money coinage	 coin coinage coin	specie coin coin money	 metal coin coinage coin	 moneychanger money coin	 money piece coinage coin	 coin coinage coinage	 money piece coinage money	age coin metal coinage	of exchange money coin money	specie coin coin currency	 metal coin coin coinage	 coin coinage money	specie coin coin coin
 writer</s><pad><pad><pad><pad><pad>	</s><pad><pad><pad><pad><pad><pad><pad>	 satirist writer	 writer public speaker person	 writer public speaker speaker	 writer publicist person	 writer public speaker public speaker	 satirist writer</s>	 sculptor sculptor	 speculator observer	 writer writer persona	 writer lecturer speaker	 writer writering</s><pad><pad>	 writer writer publicist	 writer writer of fiction person	 speculative fiction writer	 ecologist scientist	 satirist critic	 writer public speaker publicist	 speculator</s><pad><pad>
 pedagogy teacher	 artist</s><pad><pad><pad><pad><pad>	 writer</s><pad><pad><pad><pad><pad>	 pedagogy educator	 sculptor painter</s>	 entrepreneur businessman business	 sculptor artist</s><pad>	 photographer videographer videe	 sculptor</s><pad><pad><pad>	 sculptor sculptor	 entrepreneur business executive business	 sportsperson athlete sportsperson	 entrepreneur businessman person	 sculptor designer person	 sculptor person artist	 entrepreneur inventor businessman	 sculptor designer artist	 entrepreneur business person business	 sculptor teacher teacher	 entrepreneur business person 
abrasive abra	abrasive chemical compound	boron sulphate chemical	boron sulphate 	abrasive antimony	group reagent</s><pad><pad>	group reaser chemical	group adduct 	iety molecule solvant	group ion chemical compound	group ion moiety	group ion molecule	group ion i	boron sulfate</s>	abrasive acid 	boron sulfate	group adduct bond	group ion ions	solvant moiety solv	group ionic liquid chemical
part piece of equipment body part	part body structure body part	part body structure bodily process	part body part body part	part body structure bodily structure	part limb body part	part body structure limb	part bodily structure bodily	part part of body part body	part limb body structure	part limb muscle body	part limb bodily structure	part bodily structure body part	limb body part limb	part structure body part body	part part of body structure body	part part of body part</s><pad>	part part of body part 	part limb limb	part part of body part arm
 fruit tree fruit tree fruit	 fruit tree edible fruit fruit	 berry vegetable fruit	 vegetable fruit berry	 fruit tree vegetable fruit	 berry fruiting plant	 vegetable fruit fruit vegetable	 vegetable fruit tree fruit	 fruit fruiting organ vegetable	 fruit fruiting organ fruit	 fruit tree edible fruit plant	 fruit tree edible fruit 	 fruit tree fruiting plant	 berry flower fruit	 fruit tree fruit fruit	 vegetable fruit tree berry	 fruit tree fruit plant fruit	 fruit vegetable vegetable fruit	 fruit fruiting vegetable fruit	 fruit fruiting organ 
 work of art infrastructure infrastructure	 work of art infrastructure</s><pad>	 building infrastructure technical specification	 work of art piece of work	of art built environment infrastructure	 work of art network infrastructure	of art built environment physical system	 built structure transportation infrastructure	 work of art construction work	 construction piece of land infrastructure	 constructed structure piece of work	 work of art public infrastructure	 constructed structure piece of work</s>	specification technical specification</s><pad><pad><pad>	 building infrastructure</s><pad><pad><pad>	 work of art public building	 built structure transmission channel transmission	of art built environment physical structure	of art infrastructure infrastructure construction	of art infrastructure infrastructure work
show talk show talk show	institution educational institution educational program	show talk show discussion group	ship class instruction lecture	ship class class event lecture	</s><pad><pad><pad><pad><pad><pad><pad>	institution educational institution educational institution	ship class instruction class	event gathering social function social	event lecture group activity lecture	event lecture group activity social	event lecture group activity conference	 lecture discussion lecture demonstration	event lecture group activity discussion	event gathering social function event	event gathering social function conference	institution educational institution school educational	 lecture instruction lecture lecture	ship class formal education lecture	 instruction lecture seminar lecture
communication communication medium communication medium	communication communication medium form of communication	communication communication medium communication medium</s>	communication communication medium visual communication	communication written communication communication medium	fictitious character fictiti	communication communication medium moving picture	communication communication medium literary work	communication writing communication medium communication	of art fictitious character	 work of art visual art	communication communication medium written communication	communication writing communication medium medium	communication communication medium tv	communication communication medium entertainment communication	fictitious character character fictional	fictitious character person 	communication communication medium medium communication	communication communication medium form of expression	fictitious character person story
 political organization political party political	 political organization political group political	 political organization political organization group	 political organisation governing group	 mathematical function grouping group	 political organization political organisation political	 group discussion group event group	 social gathering group event group	 political organization political party group	 political organization political organization</s><pad>	 mathematical expression mathematical function group	 social gathering group group activity	 political organisation group action political	 algebraic operation group event	 social gathering group event social	 political organization political organization political	 political organization political economy political	 social gathering group group event	 social gathering group social event	 political organisation social control political
physicist scientific method	 nutrient dietary supplement	physicist nutrient	 nutrient nutrient	 nutrient nutriment	 health food group nutrition	 quantity physical property dietary	 nutrient food group	physicist scientific principle	 nutrient food</s><pad>	 diet food group dietary	physicist science food	physicist food 	 quantity physical property food	physicist scientific method</s>	 food group food group 	 nutrient dietary intake	 nutrient nutrition food	 quantity physical property nutri	 quantity physical property physical science
 county township township	 county county courthouse county	 county township city county	 county township county town	 county township hamlet	 county township township</s>	 county town county township	fictitious character person fictional	 county township municipal government	 county city township	 county city county seat	 county county courthouse</s><pad>	 county township city town	fictitious character person imaginary	fictitious place town city	 county hamlet city	 county city township</s>	 county township borough	 county township municipality town	fictitious place town 
ing plant plant material flowering	 flowering plant flowering plant	 herbaceous perennial flowering	ing plant plant material plant material	</s><pad><pad><pad><pad><pad><pad><pad>	 flowering shrub flowering plant	 plant</s><pad><pad><pad><pad><pad>	ing plant plant substance flowering	 flowering plant plant class	 flowering genus plant	 flowering tree plant</s><pad>	 flowering plant plant material	 flowering plant plant</s><pad>	 flowering shrub plant</s><pad>	 flowering plant</s><pad><pad><pad>	ing plant plant material flower	plankton plant plant	ing plant plant material plant family	genus flowering plant flower	ing plant plant material orchid
 vegetarian</s><pad><pad><pad><pad><pad>	skeptic nonvegetarian	skeptic person vegetarian</s>	dietary supplement food product food product	 vegetarian foodie vegetarian	dietary supplement food product dietary	 non-vegetarian</s><pad>	 vegetarian foodie food	 vegetarian foodie diet	-vegetarian person vegetarian	dietary supplement food product food group	group food group food group	dietary supplement food product dietetic	 food group vegetarianism	-vegetarian non-m	 vegetarian foodie non	skeptic person vegetarian	 vegetarian foodie person	 nonvegetarian vegetarian	 nonvegetarian</s><pad><pad>
astringency abras	ailment affliction	tastefulness unpleasantness unpleasant	taste unpleasantness unpleasantness	ailment ailment	astringency astringency	ailment disease sickness	persuasion physical property	astringency unpleasantness unpleasant	sensitivity sensitivity sensitivity	sensitivity sensitivity vulnerability	ailment disease symptom	ailment illness a	linguistics linguistics	sensitivity sensitivity sensitivity</s>	ailment condition a	ailment disorder</s><pad><pad>	persuasion</s><pad><pad>	aversion aversion 	symptom inclination inclin
 songwriter musician person	 songwriter actress person	 songwriter producer person	 person actor singer-songwriter	 songwriter person musician	 songwriter person singer	 person singer person</s><pad>	 actress singer-songwriter person	 person actor actores	 person singer singer 	 songwriter producer producer	 person singer musician person	 person singer singer musician	 person singer singer actress	 songwriter person actor	 person singer singer singer	 person actor</s><pad><pad><pad>	 person singer singer person	 person actress actress</s><pad>	 person actress actor</s><pad>
oe vera essential oil	ing flavoring flavoring	therapy essential oil essential oil	odour odorant	oil essential oil aromatic plant	oil oleander essential	oe vera plant herb	oil oleoresactive chemical	scented plant flower arrangement plant	scented plant floral arrangement herb	oe vera plant flower arrangement	aperitif herb 	odour flower arrangement scent	odour flower arrangement 	odour floral scent 	scented plant herb plant herb	oe vera plant flower	scented plant floral arrangement plant	oe vera herb 	oe vera herb herb
 follow-up follow-up	 follow-up aftermath follow	 post-event aftermath	 destruction destruction destruction</s><pad>	 destruction destruction revers	 post-mortem re	 destruction destruction repercussion	observable natural phenomenon natural process	 post-mortem consequence	 follow-up aftermath</s><pad>	 destruction repercussion destruction	 post-mortem destruction	 aftermath destruction destruction destruction	 destruction destruction damage destruction	 aftermath repercussion 	 follow-up aftermath 	 repercussion consequence</s><pad>	 destruction destruction consequence aftermath	 follow-up aftermath aftermath	 destruction aftermath destruction 
 knowledge knowledgeable knowledge	 goodwill goodness goodness	 knowledge knowledgeable truthfulness	 knowledge knowledgeable information	 knowledge knowledgeability knowledge	 goodwill goodwill goodness	 knowledge truthfulness knowledge	 knowledge knowledgeable truthful	 knowledge knowledgeable knowledgeable	 knowledge truthfulness truth	 goodwill goodwill good	 knowledge truthfulness information	 goodwill goodness goodwill	 knowledge knowledgeable knowledge base	 knowledge knowledgeability truthfulness	 morality knowledge truthfulness	 knowledge knowledgeable object knowledge	 knowledge truthfulness truthfulness	 knowledge knowledgeable knowledge product	 knowledge right knowledge knowledge
sanity sexiness	prudence prudence	prudence integrity pru	sanity good character good	sanity good character moral	prudence uprightness moral	 conduct conduct conductability	sanity good character 	sanity good character honesty	prudence integrity right	prudence morality right	ness uprightness rightness	sanity goodness morality	prudence integrity rightness	sanity honesty s	prudence morality upright	sanity savage	 conduct conduct conduct conduct	prudence morality moral	sanity social responsibility 
body natural phenomenon body of water	body waterbody body of water	body fluid body of water</s>	body flow waterway water	 waterbody natural phenomenon fluid	body fluid body of water	body liquid state body of water	body flow aqueous	body fluid h2o	body flow waterway fluid	body fluid</s><pad><pad><pad><pad>	body flow</s><pad><pad><pad><pad>	body flow waterway</s><pad>	 liquid state fluid waterbody	 waterbody natural phenomenon body	body waterbody fluid water	body aqueous environment	body flow watercourse water	h2o fluid water	body liquid state fluid fluid
</s><pad><pad><pad><pad><pad><pad><pad>	 fictional character fictional character fictional	 celestial body celes	 celestial body fictional character	 physicist scientist	 physicist 	 movie producer producer producer	 writer writeress	 fictional character fictional character</s><pad>	 fictional character person fictional character	 fictional character fictional character 	 celestial body person	 fictional character fictional character person	 jock jockage	 writer fictitious person	 writer fictitious character	 writer writeress</s>	 tv show t	 celestial body t	 jock jockiness
 jurisconsult jurist	leader person political leader leader	 person chief person chief	 person chief political leader	leader person political leader political	 person chief person political	leader leader person political leader	leader leader politician person	 actor</s><pad><pad><pad><pad><pad>	 person chief chief of state	 person chief person boss	 person jurist person	 person chief person leader	leader person political leader chief	leader person chief leader</s>	leader leader political leader person	leader politician leader</s><pad><pad>	leader political leader leader</s><pad>	 person chief chief politician	 jurisconsult</s><pad><pad>
molecule chemical structure molecular	ly structure molecular structure	molecule chemical structure atom	lecular physicochemical property	lecular structure unit of measure	lecular structure molecular biology	lecular entity</s><pad><pad><pad><pad>	lecular structure unit of length	molecule chemical structure biomolecule	lecular physicochemical phenomenon	lecular structure atomic number	lecular structure atom</s><pad>	lecular entity particle biomolecule	lecular structure molecular entity	lecular structure atom chemical	lecular entity molecular structure	lecular entity molecular entity	lecular structure atom biological	lecular entity particle chemical phenomenon	lecular entity atom particle
vascular structure connective tissue tissue	ly structure muscle structure structure	vascular structure connective tissue 	vascular structure connective tissue connect	structure axon connect	ly structure physiology tissue	ly structure tissue tissue 	articulation articulation 	ly structure muscle structure tissue	ly structure tissue articulation	structure tissue structure articulation	ly structure tissue vascular tissue	structure tissue structure cellular structure	type structure tissue type 	articulation articulation tissue	ly structure physiology body	ly structure skeletal structure 	vascular structure connective tissue structure	ly structure vascular structure tissue	articulation articulation structure
 hero</s><pad><pad><pad><pad>	 hero heroism	 hero heroist	o person heroine	o heroism person	 character hero hero	 hero heroist</s>	o heroism 	oism heroism	 hero heroising	 hero hero</s><pad>	o heroism heroic	 figure of speech hero</s>	o heroism her	 historical figure hero her	o person heroine</s>	 action figure hero her	 hero hero her	 hero hero person	 hero heroisation
 u.s. state	 city u.s.	 u.s. state</s>	 piece of land land site	 piece of land parcel of land	 piece of land township	 piece of land piece of ground	 city city district state	govt. state government	govt. state city	 city state city district	 piece of land country piece	 american state state state	 piece of land state map	 city state</s><pad><pad><pad>	 piece of land capital parcel	 piece of land country map	 city united states capital state	 piece of land country government	 american state state u
 waterbody body of water</s>	 river channel body of water</s>	 body of water body of water	able waterway body of water	body natural phenomenon body of water	body body of water</s><pad><pad>	 river waterbody body of	 body of water waterway	 body of water</s><pad><pad><pad>	 stream waterbody body of	tributary river waterway	 stream watercourse body of	 river system waterbody body	 waterbody navigable river	 stream waterway body of	 stream body of water body	 stream body of water water	 river network waterbody body	tributary waterbody water	tributary river body of
 flowering plant plant flower	 plantaceous plant plant	 berry flowering plant	 plant part flowering plant	arrangement plant flowering plant	 plant flowering plant plant	 plantaceous plant flower	 ornamental plant edible flower	 flowering plant plant 	 flowering plant flower plant	 plantaceous plant plant</s>	 edible flower plant flower	 flowering plant plant</s><pad>	 ornamental plant edible plant	 flowering plant vegetable plant	 berry plant</s><pad><pad>	 flowering plant plant ornament	 plantaceous plant plant part	 flowering plant flowering plant	 berry fruit plant
member human body body part	member group event team sport	member group event social function	member group event group event	member group event social event	member group of people group event	 musical group musical composition musical	member team team team sport	member group event social occasion	member sexe group event	member musician musical group musical	 musical group musical composition group	member team team sport team	member person cast member</s><pad>	member musician musical group cast	member person group event group	member sexe gender	of art piece of work picture	member person group event person	member person team team sport
metric measurement measure measurement	metric measurement measurement measurement	metric measurement measurement metric	metric measurement measurement measure	 measurement measurement quantitative quantity	 precision precision</s><pad><pad><pad>	metric measurement measurement quantitative relation	metric measurement measure measure	metric measurement measure quantitative quantity	metric measure quantitative property measure	metric measurement measurement measurement</s>	measurable quantity measure quantity</s><pad>	metric measure quantitative property dimension	metric measure quantitative property measurement	metric measure quantitative quantity degree	measurable quantity measure measurement measurement	 precision measurement precision accuracy	 measurement measurement measurement</s><pad>	measurable quantity precision precision precision	measurable quantity measurement measure measure
curved shape angular shape	 flare flare-up flare	part shape body structure body	 angular shape shape	 flare flared shape flare	 angular shape geometric shape	part shape curved shape	part shape form body structure	part body structure body part	phenomenon physical phenomenon natural phenomenon	part shape body structure shape	 flare flared shape shape	 flare flared shape 	part shape cylinder shape	 flare flare-up shape	part shape body structure 	phenomenon physical phenomenon phenomenon physical	part shape form body part	 angular shape cylinder	phenomenon physical phenomenon flare phenomenon
